韻	字	簡化字	推導音	校正音	罕用標記	註
au	楙	茂	mau2			
au	榆		yau2			
au	滶		au2			
au	猺		yau2			
au	獆		hau2			
au	蔜		au2			
au	號	号	hau2			
au	裪		tau2			
au	趒		tiau2			
au	跳		tiau2			
au	農	农	nau2			
au	遙	遥	yau2			
au	遥		yau2			
au	遨		au2			
au	鄛		chau2			
au	鉋	刨	pau2			
au	㗦		lau2			
au	䛝		nau2			
au	䜮		lau2			
au	䜮		liau2			
au	僑	侨	qau2			
au	僥	侥	yau2			
au	僬		ciau2			
au	劁		ciau2			
au	嘈		cau2			
au	噑		hau2			
au	嫪		lau2			
au	寥		liau2			
au	廖		liau2			
au	憀		liau2			
au	摮		au2			
au	摷		liau2			
au	榣		yau2			
au	樤		tiau2			
au	漕		cau2			
au	漻		liau2			
au	熬		au2			
au	獒		au2			
au	瑤	瑶	yau2			
au	瑶		yau2			
au	綯		tau2			
au	緢		miau2			
au	翢		tau2			
au	膋		liau2			
au	蓸		cau2			
au	蜩		tiau2			
au	蜪		tau2			
au	蜱		miau2			
au	褕		yau2			
au	豪		hau2			
au	銚	铫	yau2			
au	鞀		tau2			
au	鞄		pau2			
au	韶		chau2			
au	颮	飑	pau2			
au	餆		yau2			
au	髦		mau2			
au	僚		liau2			
au	㙩		liau2			
au	㝯		qau2			
au	㠐		qau2			
au	䋷		miau2			
au	䛬		tau2			
au	嘹		liau2			
au	嘺		qau2			
au	嫽		liau2			
au	嬌	娇	qau2			
au	嶕		ciau2			
au	嶚		liau2			
au	嶢		yau2			
au	憔		ciau2			
au	憭		liau2			
au	撈	捞	lau2			
au	撓	挠	nau2			
au	撨		ciau2			
au	撩		liau2			
au	敹		liau2			
au	槽		cau2			
au	樔		chau2			
au	氂		mau2			
au	潮		chau2			
au	澇	涝	lau2			
au	熮		liau2			
au	犛	牦	mau2			
au	獋		hau2			
au	獠		liau2			
au	磝		yau2			
au	窯	窑	yau2			
au	窰		yau2			
au	蕎	荞	qau2			
au	蕘	荛	rhau2			
au	蝥		mau2			
au	調	调	tiau2			
au	貓	猫	mau2			
au	貓	猫	miau2			
au	鋚		tiau2			
au	鞉		tau2			
au	髫		tiau2			
au	麃		pau2			
au	寮		liau2			
au	遼	辽	liau2			
au	㯡		pau2			
au	㲈		chau2			
au	㺜		nau2			
au	䄚		cau2			
au	䔄		yau2			
au	䩦		tiau2			
au	嶩		nau2			
au	憥		lau2			
au	憹		nau2			
au	樵		ciau2			
au	橈	桡	rhau2			
au	橋	桥	qau2			
au	橑		liau2			
au	璙		liau2			
au	瓢		piau2			
au	翱		au2			
au	聱		au2			
au	聱		yau2			
au	膫		liau2			
au	螯		au2			
au	褿		cau2			
au	錭		tau2			
au	餚	肴	xau2			
au	駣		tau2			
au	鴞		yau2			
au	麅		pau2			
au	燎		liau2			
au	䀉		qau2			
au	䏆		cau2			
au	䏆		ciau2			
au	䐬		cau2			
au	䝁		lau2			
au	䠛		yau2			
au	嚎		hau2			
au	壕		hau2			
au	嬥		tiau2			
au	濠		hau2			
au	濤	涛	tau2			
au	瞧		ciau2			
au	瞭	了	liau2			
au	竂		liau2			
au	篻		miau2			
au	繆	缪	miau2			
au	繇		yau2			
au	艚		cau2			
au	薸		piau2			
au	螬		cau2			
au	螵		piau2			
au	襓		rhau2			
au	謠	谣	yau2			
au	謡		yau2			
au	謷		au2			
au	謷		yau2			
au	鮡		tiau2			
au	䎗		qau2			
au	䯾		tiau2			
au	檮		tau2			
au	瀌		piau2			
au	燾	焘	tau2			
au	簝		lau2			
au	簝		liau2			
au	簩		lau2			
au	繚	缭	liau2			
au	翹	翘	qau2			
au	翺		au2			
au	臑		nau2			
au	蟜		qau2			
au	蟟		liau2			
au	蟧		lau2			
au	蟧		liau2			
au	蟯	蛲	rhau2			
au	豂		liau2			
au	賿		lau2			
au	轈		chau2			
au	醪		lau2			
au	鏊		au2			
au	騊		tau2			
au	鼂		chau2			
au	䦋		au2			
au	䫧		hau2			
au	藮		ciau2			
au	譊		nau2			
au	譙	谯	ciau2			
au	趫		qau2			
au	蹻		qau2			
au	轎	轿	qau2			
au	颻		yau2			
au	鶜		mau2			
au	鼗		tau2			
au	䫨		au2			
au	翿		tau2			
au	蘨		yau2			
au	蠔	蚝	hau2			
au	鐃	铙	nau2			
au	鐈		qau2			
au	鐎		ciau2			
au	鐐	镣	liau2			
au	顟		lau2			
au	飄	飘	piau2			
au	饒	饶	rhau2			
au	驁	骜	au2			
au	髎		liau2			
au	齠	龆	tiau2			
au	䩌		ciau2			
au	鐰		cau2			
au	顤		yau2			
au	顦		ciau2			
au	飉		liau2			
au	鰩	鳐	yau2			
au	鰲	鳌	au2			
au	鰷	鲦	tiau2			
au	鷂	鹞	yau2			
au	鷔		au2			
au	㹛		rhau2			
au	巎		nau2			
au	獿		nau2			
au	髝		lau2			
au	鷚	鹨	miau2			
au	䬞		tau2			
au	䴃		nau2			
au	毊		qau2			
au	鷮		qau2			
au	鷯	鹩	liau2			
au	鼇	鳌	au2			
au	𠐋		lau2			
au	𠢕		hau2			
au	𠤼		tiau2			
au	𠧙		chau2			
au	𠧪		tiau2			
au	𡏮		chau2			
au	𡻝		chau2			
au	𡻝		ciau2			
au	𡽐		liau2			
au	𡽧		nau2			
au	𢃳		chau2			
au	𢋇		yau2			
au	𢑄		yau2			
au	𢜸		nau2			
au	𢧴		au2			
au	𢿣		yau2			
au	𣍘		cau2			
au	𣘢		au2			
au	𣘪		lau2			
au	𣘫		hau2			
au	𣝞		chau2			
au	𣞈		piau2			
au	𣣳		yau2			
au	𣬸		tiau2			
au	𣳦		nau2			
au	𣹪		mau2			
au	𤖻		qau2			
au	𤣜		nau2			
au	𤩂		lau2			
au	𤫕		nau2			
au	𤬖		yau2			
au	𥗰		nau2			
au	𥲊		liau2			
au	𦒓		qau2			
au	𦗖		lau2			
au	𦗖		liau2			
au	𦪈		au2			
au	𦯐		chau2			
au	𦺔		xau2			
au	𦾺		yau2			
au	𦿌		liau2			
au	𧂏		liau2			
au	𧄍		qau2			
au	𧌁		tiau2			
au	𧰉		lau2			
au	𨙂		yau2			
au	𨚙		hau2			
au	𨚙		yau2			
au	𨝱		ciau2			
au	𨠦		xau2			
au	𨦭		lau2			
au	𨼍		hau2			
au	𩕍		hau2			
au	𩖛		piau2			
au	𩪕		au2			
au	𩫥		cau2			
au	𩯊		liau2			
au	𪃦		miau2			
au	𪓙		chau2			
au	丂		kau3			
au	了		liau3			
au	小		siau3			
au	㕚		zhau3			
au	冃		mau3			
au	冃		mau4			
au	勽		bau4			
au	夭		au3			
au	夭		yau3			
au	少		shau3			
au	少		shau4			
au	弔	吊	diau4			
au	毛		mau4			
au	爪		zhau3			
au	卯		mau3			
au	叫		jau4			
au	召		shau4			
au	召		zhau4			
au	号		hau4			
au	夰		gau3			
au	夰		hau4			
au	巧		qau3			
au	巧		qau4			
au	㣿		diau3			
au	㫐		yau3			
au	仯		chau3			
au	仯		chau4			
au	仸		yau3			
au	伄		diau3			
au	伄		diau4			
au	兆		zhau4			
au	吊		diau4			
au	好		hau3			
au	好		hau4			
au	尥		liau4			
au	扚		diau3			
au	攷	考	kau3			
au	早		zau3			
au	考		kau3			
au	艸	艹	cau3			
au	芍		xau4			
au	老		lau3			
au	㑃		yau4			
au	㤇		au3			
au	㤊		xau4			
au	㭂		ziau3			
au	㽱		jau3			
au	佋		shau4			
au	劭		shau4			
au	卲		shau4			
au	吵		chau3			
au	吵		miau3			
au	告		gau4			
au	妙		miau4			
au	孝		xau4			
au	戼		mau3			
au	找		zhau3			
au	抄		chau3			
au	抄		chau4			
au	抓		zhau3			
au	抓		zhau4			
au	抛		pau4			
au	灶		zau4			
au	皁	皂	zau4			
au	皂		zau4			
au	皃		mau4			
au	肖		siau4			
au	芺		au3			
au	芺		yau3			
au	芼		mau4			
au	邵		shau4			
au	尿		niau4			
au	㚖		gau3			
au	䄪		diau3			
au	䑠		liau3			
au	佻		diau3			
au	佼		jau3			
au	佼		xau4			
au	到		dau4			
au	効		xau4			
au	奅		pau4			
au	弨		chau3			
au	抭		yau3			
au	抱		bau4			
au	拗		yau3			
au	昊		hau4			
au	杪		miau3			
au	杲		gau3			
au	杳		yau3			
au	殀	夭	yau3			
au	沼		zhau3			
au	泖		mau3			
au	炒		chau3			
au	炓		liau4			
au	狕		yau3			
au	肏	操	cau4			
au	苭		yau3			
au	茆		mau3			
au	表		biau3			
au	㞁		yau4			
au	䒕		siau3			
au	俏		ciau4			
au	保		bau3			
au	冒		mau4			
au	咬		yau3			
au	咷	啕	tiau4			
au	垗		zhau4			
au	姣		jau3			
au	屌		diau3			
au	恅		lau3			
au	恔		jau3			
au	拷		kau3			
au	挑		diau4			
au	挑		tiau3			
au	昦		hau4			
au	昴		mau3			
au	洘		kau3			
au	炤	照	zhau4			
au	炮		pau4			
au	狡		jau3			
au	狣		zhau4			
au	玅	妙	miau4			
au	眇		miau3			
au	眊		mau4			
au	秏	耗	hau4			
au	秒		miau3			
au	約	约	yau4			
au	草		cau3			
au	蚤		zau3			
au	要		yau4			
au	訆		jau4			
au	郜		gau4			
au	陗		ciau4			
au	㛐		sau3			
au	㼥		kau3			
au	㿟		jau3			
au	䋃		mau4			
au	䒚		shau3			
au	俲		xau4			
au	俵		biau4			
au	倒		dau3			
au	倒		dau4			
au	哨		ciau4			
au	哮		xau4			
au	套		tau4			
au	娋		shau4			
au	娎		xau4			
au	宲		bau3			
au	峭		ciau4			
au	島	岛	dau3			
au	帩		ciau4			
au	悄		ciau3			
au	效		xau4			
au	旄		mau4			
au	晈		jau3			
au	朓		chau4			
au	朓		tiau3			
au	校		jau4			
au	校		xau4			
au	栲		kau3			
au	栳		lau3			
au	浩		hau4			
au	涍		xau4			
au	烄		gau4			
au	烄		jau3			
au	烤		kau3			
au	珓		jau4			
au	珤		bau3			
au	疱		bau4			
au	疱		pau4			
au	皰	疱	bau4			
au	皰	疱	pau4			
au	眧		chau3			
au	窅		yau3			
au	窈		yau3			
au	窌		pau4			
au	笊		zhau3			
au	笊		zhau4			
au	笑		siau4			
au	耄		mau4			
au	耖		chau4			
au	耗		hau4			
au	肁		zhau4			
au	舀		yau3			
au	莜		diau4			
au	莩		biau4			
au	袎		yau4			
au	袑		shau4			
au	討	讨	tau3			
au	豹		bau4			
au	造		cau4			
au	造		zau4			
au	郩		au3			
au	釕	钌	diau3			
au	料		liau4			
au	㞙		niau4			
au	㹾		biau4			
au	䂪		qau3			
au	䆞		yau3			
au	䎂		bau3			
au	䝖		zhau3			
au	偠		yau3			
au	匘		nau3			
au	埽		sau3			
au	埽		sau4			
au	婊		biau3			
au	媌		mau3			
au	巢		zhau4			
au	庿		miau4			
au	悼		dau4			
