韻	字	簡化字	推導音	校正音	罕用標記	註
a	𣥂		ta1			
a	𣬬		sa1			
a	𣮫		ja1			
a	𣻑		sha1			
a	𤁫		chua1			
a	𤁳		zha1			
a	𤛊		la1			
a	𤜯		cha1			
a	𤝰		da1			
a	𤠙		ja1			
a	𤫶		qa1			
a	𤬷		na1			
a	𤵾		cha1			
a	𤶠		zha1			
a	𤷈		na1			
a	𤹡		zha1			
a	𥀈		zha1			
a	𥀰		la1			
a	𥃐		cha1			
a	𥄎		wa1			
a	𥈔		ya1			
a	𥈙		la1			
a	𥉻		chua1			
a	𥎰		fa1			
a	𥑐		ja1			
a	𥗥		ma1			
a	𥗭		ca1			
a	𥡧		zha1			
a	𥬸		zhua1			
a	𥴭		qa1			
a	𥻦		sa1			
a	𦅶		la1			
a	𦍒		ta1			
a	𦐇		ta1			
a	𦑇		ta1			
a	𦒆		la1			
a	𦒦		la1			
a	𦘍		wa1			
a	𦤙		wa1			
a	𦧟		ta1			
a	𦧭		ta1			
a	𦪙		ta1			
a	𦬹		da1			
a	𦳏		zha1			
a	𦶎		hua1			
a	𦶑		ta1			
a	𦸉		qa1			
a	𦹬		kua1			
a	𦼧		sa1			
a	𧉪		ja1			
a	𧉫		zha1			
a	𧞍		na1			
a	𧣃		pa1			
a	𧪦		ta1			
a	𧬅		zha1			
a	𧬭		gua1			
a	𧲌		sha1			
a	𧳛		sha1			
a	𧶇		zha1			
a	𧻵		sha1			
a	𨂁		ya1			
a	𨅞		da1			
a	𨆂		sa1			
a	𨋐		pa1			
a	𨌭		ta1			
a	𨐖		sa1			
a	𨒇		ja1			
a	𨔣		ja1			
a	𩊮		sha1			
a	𩌍		ja1			
a	𩎕		sa1			
a	𩑛		fa1			
a	𩚛		na1			
a	𩝣		da1			
a	𩝨		hua1			
a	𩠖		fa1			
a	𩡩		ba1			
a	𩥑		ta1			
a	𩮁		ja1			
a	𩮁		qa1			
a	𩮂		xa1			
a	𩮝		ya1			
a	𩴳		chua1			
a	𩿤		zha1			
a	𪂌		ta1			
a	𪃈		ja1			
a	𪆰		ya1			
a	𪇹		la1			
a	𪈟		ja1			
a	𪒜		ma1			
a	𪗔		pa1			
a	𪗭		zha1			
a	𪗾		xa1			
a	𪘁		ta1			
a	𪙷		la1			
a	𪙻		chua1			
a	乏		fa2			
a	牙		ya2			
a	伐		fa2			
a	划		hua2			
a	舌		hua2			
a	匣		xa2			
a	吾		ya2			
a	呀		ya2			
a	姂		fa2			
a	庌		ya2			
a	泛		fa2			
a	芽		ya2			
a	厓		ya2			
a	坺		fa2			
a	拔		ba2			
a	拔		fa2			
a	杷		pa2			
a	枒		ya2			
a	沓		da2			
a	爬		pa2			
a	狎		xa2			
a	秅		cha2			
a	苴		cha2			
a	拏		na2			
a	㳐		zha2			
a	咶		hua2			
a	垡		fa2			
a	姡		hua2			
a	柙		xa2			
a	查		cha2			
a	査		cha2			
a	洽		xa2			
a	炠		xa2			
a	砎		xa2			
a	茬		cha2			
a	茷		fa2			
a	陜		xa2			
a	茶		cha2			
a	䑔		fa2			
a	峽	峡	xa2			
a	崋		hua2			
a	拿		na2			
a	挐		na2			
a	敌		hua2			
a	栰		fa2			
a	烚		xa2			
a	狹	狭	xa2			
a	珨		xa2			
a	眔		da2			
a	砸		za2			
a	祫		xa2			
a	荼		cha2			
a	華	华	hua2			
a	蚜		ya2			
a	㧺		da2			
a	䅊		cha2			
a	䍇		da2			
a	啀		ya2			
a	崖		ya2			
a	捱		ya2			
a	梌		cha2			
a	涯		ya2			
a	涾		da2			
a	猚		ya2			
a	笚		xa2			
a	笯		na2			
a	翈		xa2			
a	菝		ba2			
a	釫		hua2			
a	陿		xa2			
a	麻		ma2			
a	㥟		xa2			
a	㭼		da2			
a	䞩		xa2			
a	䴳		hua2			
a	搽		cha2			
a	渫		zha2			
a	猾		hua2			
a	琶		pa2			
a	硤	硖	xa2			
a	筏		fa2			
a	詉		na2			
a	遐		xa2			
a	達	达	da2			
a	㨙		xa2			
a	䂿		da2			
a	䣹		fa2			
a	䪞		za2			
a	嘩	哗	hua2			
a	塗	涂	cha2			
a	慀		xa2			
a	楂		cha2			
a	槎		cha2			
a	煠		zha2			
a	牐		zha2			
a	瑕		xa2			
a	痲	麻	ma2			
a	舝		xa2			
a	蒘		na2			
a	衙		ya2			
a	遝		da2			
a	韴		za2			
a	滑		hua2			
a	㢒		cha2			
a	㦄		ma2			
a	䦖		xa2			
a	䨐		xa2			
a	摣		na2			
a	榽		xa2			
a	樺	桦	hua2			
a	瞂		fa2			
a	碬		xa2			
a	磆		hua2			
a	罰	罚	fa2			
a	膎		xa2			
a	閥	阀	fa2			
a	犘		ma2			
a	蕸		xa2			
a	薘		da2			
a	蝦	虾	xa2			
a	螖		hua2			
a	誻		da2			
a	鋘		hua2			
a	霅		xa2			
a	鞋		xa2			
a	頢		hua2			
a	䈳		da2			
a	䙎		xa2			
a	䠍		xa2			
a	橃		fa2			
a	縖		xa2			
a	蟆		ma2			
a	赮		xa2			
a	磼		za2			
a	耫		zha2			
a	藅		fa2			
a	譁	哗	hua2			
a	蹋		da2			
a	轄	辖	xa2			
a	鍘	铡	zha2			
a	鍜		xa2			
a	霞		xa2			
a	鮭	鲑	xa2			
a	䪗		xa2			
a	䫗		xa2			
a	巀		za2			
a	鎋		xa2			
a	鏵	铧	hua2			
a	闒		da2			
a	雜	杂	za2			
a	黠		xa2			
a	䠧		cha2			
a	䣝		cha2			
a	䣟		za2			
a	䮢		zha2			
a	蹹		da2			
a	鞵		xa2			
a	騢		xa2			
a	鼃		hua2			
a	齖		ya2			
a	譫	谵	da2			
a	驊	骅	hua2			
a	鰕		xa2			
a	鶻	鹘	hua2			
a	䜚		da2			
a	䱻		hua2			
a	䳴		da2			
a	譶		da2			
a	鶷		xa2			
a	鷨		hua2			
a	囋		za2			
a	㩵		za2			
a	囐		za2			
a	䕸		xa2			
a	䕹		za2			
a	雥		za2			
a	躢		da2			
a	䶥		cha2			
a	龖		da2			
a	𠉤		da2			
a	𠗉		xa2			
a	𠢆		xa2			
a	𠯑		hua2			
a	𡑧		xa2			
a	𡝐		cha2			
a	𡨀		cha2			
a	𢈙		xa2			
a	𢘉		xa2			
a	𢮟		xa2			
a	𢶍		za2			
a	𣘻		cha2			
a	𣝋		da2			
a	𣢉		wa2			
a	𤁪		hua2			
a	𤪍		xa2			
a	𤲍		xa2			
a	𤶠		cha2			
a	𥂓		ma2			
a	𥄳		da2			
a	𥎱		ba2			
a	𥥸		cha2			
a	𥯦		zha2			
a	𥰶		xa2			
a	𦂀		da2			
a	𦑲		da2			
a	𦛝		cha2			
a	𦧠		hua2			
a	𦵯		xa2			
a	𦾽		da2			
a	𧆥		xa2			
a	𧌏		da2			
a	𧑍		hua2			
a	𧕱		xa2			
a	𧘽		na2			
a	𧦮		na2			
a	𧮑		da2			
a	𧼰		zha2			
a	𧽌		hua2			
a	𨅔		za2			
a	𨰉		zha2			
a	𩂢		ya2			
a	𩉾		xa2			
a	𩋥		xa2			
a	𩔶		ma2			
a	𩝛		xa2			
a	𩣯		da2			
a	𩨾		wa2			
a	𩪲		xa2			
a	𪓹		ma2			
a	𪗾		xa2			
a	𪘘		xa2			
a	𪘲		ya2			
a	丅		xa4			
a	匕		hua4			
a	下		xa4			
a	化		hua4			
a	瓦		wa3			
a	瓦		wa4			
a	乍		zha4			
a	冎		gua3			
a	疋		ya3			
a	㕦		hua4			
a	厊		ya3			
a	吒		zha4			
a	奼		cha3			
a	奼		zha4			
a	汊		cha4			
a	芐		xa4			
a	襾	西	xa3			
a	襾	西	ya4			
a	覀		ya4			
a	邷		wa3			
a	厏		sha4			
a	厏		zha3			
a	呀		ya4			
a	岔		cha4			
a	帊		pa4			
a	庌		ya3			
a	弝		ba4			
a	扮		hua3			
a	把		ba3			
a	沙		sha4			
a	灹		zha4			
a	犽		ya4			
a	迓		ya4			
a	阸		ya4			
a	䒓		qa3			
a	亞	亚	ya4			
a	侘		cha4			
a	卦		gua4			
a	咋		zha4			
a	坬		gua4			
a	怕		pa4			
a	杷		ba4			
a	杹		hua4			
a	枒		ya4			
a	爸		ba4			
a	衩		cha4			
a	㡁		kua3			
a	㰤		qa4			
a	叚		ja3			
a	咤		zha4			
a	哆		zha4			
a	奓		zha4			
a	姹		cha3			
a	挂		gua4			
a	架		ja4			
a	柺	拐	gua3			
a	砑		ya4			
a	耍		shua3			
a	㿿		ya3			
a	䟕		cha4			
a	俹		ya4			
a	剮	剐	gua3			
a	垻		ba4			
a	夏		xa4			
a	崋		hua4			
a	疴		qa4			
a	痄		zha3			
a	窊		wa4			
a	笆		ba4			
a	耙		ba4			
a	胯		kua4			
a	華	华	hua4			
a	馬	马	ma3			
a	㢊		ya3			
a	㾏		ja4			
a	䅊		zha4			
a	䋈		na3			
a	䢝		ya4			
a	假		ja3			
a	假		ja4			
a	唬		xa4			
a	啞	哑	ya3			
a	啞	哑	ya4			
a	婭	娅	ya4			
a	掛	挂	gua4			
a	笮		zha4			
a	罣		gua4			
a	罣		hua4			
a	蚱		zha4			
a	訝	讶	ya4			
a	跁		ba4			
a	㓃		zha4			
a	㰳		ya4			
a	䂳		chua3			
a	䏧		na4			
a	䒲		zha4			
a	䖳		zha4			
a	䧞		ma4			
a	傌		ma4			
a	婽		ja3			
a	斝		ja3			
a	溠		zha4			
