韻	字	簡化字	推導音	校正音	罕用標記	註
an	鳻		ban1			
an	鳽		jan1			
an	鴅		huan1			
an	㣶		zhan1			
an	㽃		pan1			
an	䆱		tan1			
an	䈲		ban1			
an	䞿		qan1			
an	䞿		xan1			
an	䡣		xan1			
an	噡		zhan1			
an	嬗		tan1			
an	嬛		xuan1			
an	嬛		yuan1			
an	嬜		an1			
an	嬜		han1			
an	幨		chan1			
an	憸		cian1			
an	憸		sian1			
an	擐		guan1			
an	擔	担	dan1			
an	橪		yan1			
an	殫	殚	dan1			
an	熸		zian1			
an	燕		yan1			
an	盦		an1			
an	磚	砖	zhuan1			
an	穇		shan1			
an	竱		duan1			
an	縑	缣	jan1			
an	縓		ciuan1			
an	薽		jan1			
an	螌		ban1			
an	褰		qan1			
an	諠	喧	xuan1			
an	諯		zhuan1			
an	諳	谙	an1			
an	諼	谖	xuan1			
an	貒		tuan1			
an	蹁		bian1			
an	邅		zhan1			
an	閹	阉	yan1			
an	閼	阏	yan1			
an	霑	沾	zhan1			
an	鞙		juan1			
an	餐		can1			
an	馠		han1			
an	駩		ciuan1			
an	鴛	鸳	yuan1			
an	黇		tian1			
an	㿊		cian1			
an	䌑		jan1			
an	䔜		tan1			
an	䟃		can1			
an	䩩		yuan1			
an	䭈		jan1			
an	䯹		sian1			
an	䶃		gan1			
an	壎	埙	xuan1			
an	嬮		yan1			
an	尷	尴	jan1			
an	檆		shan1			
an	歛		han1			
an	氈	毡	zhan1			
an	甔		dan1			
an	癉	瘅	dan1			
an	癍		ban1			
an	篸		zan1			
an	篿		zhuan1			
an	縴	纤	qan1			
an	縿		shan1			
an	臉	脸	cian1			
an	艱	艰	jan1			
an	虨		ban1			
an	襌		dan1			
an	謙	谦	qan1			
an	謜		ciuan1			
an	蹎		dian1			
an	轃		zian1			
an	鍴		duan1			
an	鞬		jan1			
an	韱		sian1			
an	顅		qan1			
an	馣		an1			
an	駽		xuan1			
an	鮮	鲜	sian1			
an	鯅		shan1			
an	麉		jan1			
an	鼾		han1			
an	㿌		xan1			
an	䉔		can1			
an	䍼		zan1			
an	䐶		zan1			
an	䐷		dan1			
an	䔵		jan1			
an	䤽		guan1			
an	䵌		xan1			
an	懕		yan1			
an	擹		tan1			
an	旛	幡	fan1			
an	濺	溅	zian1			
an	癏		guan1			
an	瞻		zhan1			
an	竄	窜	cuan1			
an	簞	箪	dan1			
an	簪		zan1			
an	繙	翻	fan1			
an	羴		xan1			
an	翻		fan1			
an	藩		fan1			
an	蟤		zhuan1			
an	襜		chan1			
an	蹮		sian1			
an	辬		ban1			
an	邊	边	bian1			
an	鏈	链	chan1			
an	鞭		bian1			
an	顓	颛	zhuan1			
an	騝		jan1			
an	鬈		quan1			
an	鵑	鹃	juan1			
an	䌠		gan1			
an	䌠		jan1			
an	䌠		qan1			
an	䌠		xan1			
an	䥉		yuan1			
an	嬽		yuan1			
an	攀		pan1			
an	攐		qan1			
an	攑		qan1			
an	旜		zhan1			
an	櫏		cian1			
an	瀳		zian1			
an	矎		xuan1			
an	礛		jan1			
an	簽	签	cian1			
an	籈		jan1			
an	羶	膻	shan1			
an	翾		xuan1			
an	聸		dan1			
an	舚		tian1			
an	蟾		zhan1			
an	蠉		xuan1			
an	覸		jan1			
an	譔	撰	ciuan1			
an	轓		fan1			
an	酄		huan1			
an	關	关	guan1			
an	顚		dian1			
an	顛	颠	dian1			
an	馦		xan1			
an	鬋		zian1			
an	鵪	鹌	an1			
an	鵮		zhan1			
an	鵮		qan1			
an	鵳		jan1			
an	鵷		yuan1			
an	㒹		dian1			
an	㡨		cian1			
an	㡨		zian1			
an	䰉		ban1			
an	䳦		siuan1			
an	䳦		xuan1			
an	䵎		tuan1			
an	孅		sian1			
an	廯		sian1			
an	懽		huan1			
an	攕		shan1			
an	攙	搀	chan1			
an	瀸		zian1			
an	獾		huan1			
an	蘞	蔹	xan1			
an	譞		xuan1			
an	譠		tan1			
an	譠		zhan1			
an	譣		cian1			
an	鐇		fan1			
an	鐉	铣	ciuan1			
an	鐕		zan1			
an	鐫	镌	ziuan1			
an	韽		an1			
an	騫	骞	qan1			
an	鯾		bian1			
an	鯿		ban1			
