韻	調	字	簡化字	推導音	校正音	罕用標記	註
i	2	崎	崎	qi2			
i	2	崖	崖	yi2			
i	2	崥	崥	pi2			
i	2	庴	庴	zi2			
i	2	梑	梑	di2			
i	2	梩	梩	li2			
i	2	涯	涯	yi2			
i	2	淇	淇	qi2			
i	2	淝	淝	fi2			
i	2	犁	犁	li2			
i	2	猊	猊	yi2			
i	2	猎	猎	zi2			
i	2	疵	疵	cy2			
i	2	痍	痍	yi2			
i	2	眱	眱	yi2			
i	2	移	移	yi2			
i	2	笛	笛	di2			
i	2	紩	紩	zhy2			
i	2	翐	翐	zhy2			
i	2	習	习	si2			
i	2	菭	菭	chy2			
i	2	萁	萁	qi2			
i	2	萆	萆	bi2			
i	2	蚭	蚭	ni2			
i	2	蚳	蚳	chy2			
i	2	蛇	蛇	yi2			
i	2	袠	袠	zhy2			
i	2	豼	豼	pi2			
i	2	跂	跂	qi2			
i	2	軝	軝	qi2			
i	2	郿	郿	mi2			
i	2	隄	堤	ti2			
i	2	梨	梨	li2			
i	2	㑵	㑵	zi2			
i	2	㖷	㖷	chy2			
i	2	㪒	㪒	yi2			
i	2	㼰	㼰	pi2			
i	2	㾖	㾖	li2			
i	2	䍘	䍘	mi2			
i	2	䝚	䝚	ni2			
i	2	䪧	䪧	chy2			
i	2	傂	傂	chy2			
i	2	傒	傒	xi2			
i	2	啼	啼	ti2			
i	2	堤	堤	chy2			
i	2	媞	媞	ti2			
i	2	寔	寔	shy2			
i	2	崹	崹	ti2			
i	2	嵇	嵇	xi2			
i	2	嵋	嵋	mi2			
i	2	幾	几	qi2			
i	2	弼	弼	bi2			
i	2	愎	愎	bi2			
i	2	提	提	chy2			
i	2	提	提	ti2			
i	2	期	期	qi2			
i	2	棃	棃	li2			
i	2	棊	棊	qi2			
i	2	棋	棋	qi2			
i	2	棿	棿	yi2			
i	2	植	植	shy2			
i	2	椑	椑	bi2			
i	2	椑	椑	pi2			
i	2	極	极	ji2			
i	2	殖	殖	shy2			
i	2	湄	湄	mi2			
i	2	湜	湜	shy2			
i	2	焷	焷	pi2			
i	2	犂	犂	li2			
i	2	犆	犆	zhy2			
i	2	猸	猸	mi2			
i	2	琦	琦	qi2			
i	2	琪	琪	qi2			
i	2	琵	琵	pi2			
i	2	睂	睂	mi2			
i	2	祺	祺	qi2			
i	2	稊	稊	ti2			
i	2	罤	罤	ti2			
i	2	羠	羠	yi2			
i	2	胔	胔	cy2			
i	2	脾	脾	pi2			
i	2	腓	腓	fi2			
i	2	葃	葃	zi2			
i	2	葿	葿	mi2			
i	2	蛦	蛦	yi2			
i	2	袲	袲	yi2			
i	2	詆	诋	ti2			
i	2	詑	詑	yi2			
i	2	詒	诒	yi2			
i	2	詞	词	sy2			
i	2	貽	贻	yi2			
i	2	貾	貾	chy2			
i	2	賁	贲	fi2			
i	2	跜	跜	ni2			
i	2	辝	辝	sy2			
i	2	遈	遈	shy2			
i	2	鈚	鈚	pi2			
i	2	集	集	zi2			
i	2	㜎	㜎	xi2			
i	2	㡗	㡗	ti2			
i	2	㥴	㥴	yi2			
i	2	䬫	䬫	ti2			
i	2	䬮	䬮	yi2			
i	2	剺	剺	li2			
i	2	嗁	嗁	ti2			
i	2	塉	塉	zi2			
i	2	塒	埘	chy2			
i	2	媐	媐	yi2			
i	2	嫉	嫉	zi2			
i	2	微	微	vi2			
i	2	徯	徯	xi2			
i	2	愭	愭	qi2			
i	2	愱	愱	zi2			
i	2	慈	慈	cy2			
i	2	暆	暆	yi2			
i	2	椺	椺	xi2			
i	2	楣	楣	mi2			
i	2	溰	溰	yi2			
i	2	滌	涤	di2			
i	2	漓	漓	li2			
i	2	瑂	瑂	mi2			
i	2	瑅	瑅	ti2			
i	2	痱	痱	fi2			
i	2	碁	棋	qi2			
i	2	碕	崎	qi2			
i	2	禔	禔	chy2			
i	2	禔	禔	ti2			
i	2	筣	筣	li2			
i	2	綈	绨	ti2			
i	2	羨	羡	yi2			
i	2	腷	腷	bi2			
i	2	艃	艃	li2			
i	2	蒔	莳	chy2			
i	2	蒵	蒵	xi2			
i	2	蒺	蒺	zi2			
i	2	蓆	席	si2			
i	2	蓧	蓧	di2			
i	2	蜊	蜊	li2			
i	2	裨	裨	pi2			
i	2	誃	誃	chy2			
i	2	趌	趌	ji2			
i	2	趍	趍	chy2			
i	2	跠	跠	yi2			
i	2	辟	辟	bi2			
i	2	遟	遟	chy2			
i	2	鉐	鉐	shy2			
i	2	鉟	鉟	pi2			
i	2	頎	颀	qi2			
i	2	飴	饴	yi2			
i	2	飶	飶	bi2			
i	2	馳	驰	chy2			
i	2	鬾	鬾	qi2			
i	2	㮰	㮰	pi2			
i	2	䈈	䈈	fi2			
i	2	䐈	䐈	zhy2			
i	2	䑴	䑴	qi2			
i	2	䘽	䘽	yi2			
i	2	䨑	䨑	ti2			
i	2	䩛	䩛	bi2			
i	2	䬁	䬁	yi2			
i	2	嫠	嫠	li2			
i	2	孷	孷	li2			
i	2	實	实	shy2			
i	2	旗	旗	qi2			
i	2	榯	榯	chy2			
i	2	榽	榽	xi2			
i	2	槉	槉	zi2			
i	2	樆	樆	li2			
i	2	歋	歋	yi2			
i	2	滷	卤	di2			
i	2	璃	璃	li2			
i	2	疑	疑	yi2			
i	2	盠	盠	li2			
i	2	碩	硕	shy2			
i	2	磁	磁	cy2			
i	2	綦	綦	qi2			
i	2	綨	綨	qi2			
i	2	綼	綼	bi2			
i	2	翟	翟	di2			
i	2	耤	藉	zi2			
i	2	膌	膌	zi2			
i	2	膍	膍	pi2			
i	2	蔋	蔋	di2			
i	2	蔩	蔩	yi2			
i	2	蜝	蜝	qi2			
i	2	蜞	蜞	qi2			
i	2	蜰	蜰	fi2			
i	2	蜱	蜱	pi2			
i	2	蜺	霓	yi2			
i	2	蝕	蚀	shy2			
i	2	裴	裴	fi2			
i	2	褆	褆	ti2			
i	2	覡	觋	xi2			
i	2	貍	狸	li2			
i	2	鉹	鉹	yi2			
i	2	銕	銕	ti2			
i	2	頔	頔	di2			
i	2	馝	馝	bi2			
i	2	馶	馶	qi2			
i	2	齊	齐	ci2			
i	2	㙨	㙨	qi2			
i	2	㦒	㦒	li2			
i	2	㯅	㯅	pi2			
i	2	㷰	㷰	li2			
i	2	㹍	㹍	di2			
i	2	䅲	䅲	qi2			
i	2	䈕	䈕	chy2			
i	2	䐎	䐎	ti2			
i	2	䬾	䬾	ti2			
i	2	䲬	䲬	qi2			
i	2	䲯	䲯	ji2			
i	2	䴻	䴻	li2			
i	2	䴽	䴽	pi2			
i	2	儀	仪	yi2			
i	2	劇	剧	ji2			
i	2	墀	墀	chy2			
i	2	慹	慹	zi2			
i	2	敵	敌	di2			
i	2	槢	槢	si2			
i	2	樀	樀	di2			
i	2	氂	氂	li2			
i	2	漦	漦	chy2			
i	2	潪	潪	zhy2			
i	2	熪	熪	yi2			
i	2	犛	牦	li2			
i	2	璂	璂	qi2			
i	2	畿	畿	qi2			
i	2	瘠	瘠	zi2			
i	2	禥	禥	qi2			
i	2	箷	箷	yi2			
i	2	箿	箿	zi2			
i	2	糍	糍	cy2			
i	2	締	缔	ti2			
i	2	緹	缇	ti2			
i	2	罷	罢	pi2			
i	2	蔾	蔾	li2			
i	2	蕛	蕛	ti2			
i	2	蝭	蝭	ti2			
i	2	褫	褫	chy2			
i	2	褵	褵	li2			
i	2	觬	觬	yi2			
i	2	貎	貎	yi2			
i	2	踑	踑	qi2			
i	2	踖	踖	zi2			
i	2	踟	踟	chy2			
i	2	踧	踧	di2			
i	2	輗	輗	yi2			
i	2	辤	辤	sy2			
i	2	遲	迟	chy2			
i	2	銻	锑	ti2			
i	2	飺	飺	cy2			
i	2	餈	糍	cy2			
i	2	駜	駜	bi2			
i	2	骴	骴	cy2			
i	2	魮	魮	pi2			
i	2	黎	黎	li2			
i	2	䅻	䅻	li2			
i	2	䚣	䚣	ti2			
i	2	䞾	䞾	chy2			
i	2	䢮	䢮	di2			
i	2	䲹	䲹	pi2			
i	2	䲽	䲽	shy2			
i	2	擗	擗	bi2			
i	2	檝	檝	zi2			
i	2	澬	澬	cy2			
i	2	濨	濨	cy2			
i	2	獥	獥	xi2			
i	2	篪	篪	chy2			
i	2	篴	篴	di2			
i	2	縭	缡	li2			
i	2	薂	薂	xi2			
i	2	薇	薇	mi2			
i	2	薇	薇	vi2			
i	2	薋	薋	cy2			
i	2	螇	螇	xi2			
i	2	螔	螔	yi2			
i	2	褶	褶	shy2			
i	2	褶	褶	si2			
i	2	趧	趧	ti2			
i	2	踾	踾	bi2			
i	2	蹄	蹄	ti2			
i	2	輯	辑	zi2			
i	2	醍	醍	ti2			
i	2	錡	錡	qi2			
i	2	錤	錤	qi2			
i	2	隰	隰	si2			
i	2	霓	霓	yi2			
i	2	頤	颐	yi2			
i	2	魾	魾	pi2			
i	2	鮅	鮅	bi2			
i	2	罹	罹	li2			
i	2	㙷	㙷	zhy2			
i	2	㱸	㱸	bi2			
i	2	㵟	㵟	mi2			
i	2	㵟	㵟	vi2			
i	2	䐲	䐲	zhy2			
i	2	䒁	䒁	si2			
i	2	䔟	䔟	yi2			
i	2	䖙	䖙	ti2			
i	2	䱌	䱌	yi2			
i	2	䶒	䶒	ci2			
i	2	嶷	嶷	yi2			
i	2	彌	弥	mi2			
i	2	懠	懠	ci2			
i	2	擟	擟	mi2			
i	2	擲	掷	zhy2			
i	2	擿	擿	zhy2			
i	2	檄	檄	xi2			
i	2	甓	甓	bi2			
i	2	簃	簃	chy2			
i	2	簃	簃	yi2			
i	2	簎	簎	zi2			
i	2	糜	糜	mi2			
i	2	縻	縻	mi2			
i	2	薺	荠	cy2			
i	2	藄	藄	qi2			
i	2	藉	藉	zi2			
i	2	螷	螷	pi2			
i	2	蟄	蛰	zhy2			
i	2	蟍	蟍	li2			
i	2	謕	謕	ti2			
i	2	謘	謘	chy2			
i	2	謧	謧	li2			
i	2	豯	豯	xi2			
i	2	貔	貔	pi2			
i	2	貕	貕	xi2			
i	2	蹊	蹊	xi2			
i	2	蹏	蹏	ti2			
i	2	醨	醨	li2			
i	2	鞞	鞞	pi2			
i	2	鮚	鲒	ji2			
i	2	鮧	鮧	ti2			
i	2	鮧	鮧	yi2			
i	2	鮨	鮨	qi2			
i	2	鮩	鮩	bi2			
i	2	鴜	鴜	cy2			
i	2	鴺	鴺	ti2			
i	2	鴺	鴺	yi2			
i	2	鵧	鵧	pi2			
i	2	麊	麊	mi2			
i	2	麋	麋	mi2			
i	2	㘌	㘌	ji2			
i	2	䆅	䆅	cy2			
i	2	䤍	䤍	mi2			
i	2	䵂	䵂	di2			
i	2	䵂	䵂	zhy2			
i	2	彝	彝	yi2			
i	2	彞	彞	yi2			
i	2	櫀	櫀	qi2			
i	2	癓	癓	vi2			
i	2	矀	矀	mi2			
i	2	矀	矀	vi2			
i	2	礠	礠	cy2			
i	2	臍	脐	ci2			
i	2	藜	藜	li2			
i	2	蟣	虮	qi2			
i	2	蟦	蟦	fi2			
i	2	謻	謻	yi2			
i	2	蹢	蹢	zhy2			
i	2	邌	邌	li2			
i	2	釐	厘	li2			
i	2	題	题	ti2			
i	2	馥	馥	bi2			
i	2	騎	骑	qi2			
i	2	騏	骐	qi2			
i	2	鮷	鮷	ti2			
i	2	鵜	鹈	ti2			
i	2	鼫	鼫	shy2			
i	2	䉠	䉠	mi2			
i	2	䉠	䉠	vi2			
i	2	䚐	䚐	zi2			
i	2	䫠	䫠	pi2			
i	2	䳢	䳢	qi2			
i	2	䶔	䶔	chy2			
i	2	斄	斄	li2			
i	2	犤	犤	pi2			
i	2	瓈	瓈	li2			
i	2	癠	癠	ci2			
i	2	蘄	蕲	qi2			
i	2	辭	辞	sy2			
i	2	鏔	鏔	yi2			
i	2	霫	霫	si2			
i	2	騠	騠	ti2			
i	2	鯕	鯕	qi2			
i	2	鯢	鲵	yi2			
i	2	鯬	鯬	li2			
i	2	鵸	鵸	qi2			
i	2	鵹	鵹	li2			
i	2	麑	麑	yi2			
i	2	麒	麒	qi2			
i	2	鼭	鼭	chy2			
i	2	麗	丽	li2			
i	2	離	离	li2			
i	2	㜷	㜷	mi2			
i	2	䊮	䊮	di2			
i	2	䌦	䌦	di2			
i	2	䚫	䚫	xi2			
i	2	䣡	䣡	yi2			
i	2	䱱	䱱	ti2			
i	2	攗	攗	mi2			
i	2	欂	欂	bi2			
i	2	瀰	弥	mi2			
i	2	獼	猕	mi2			
i	2	籊	籊	di2			
i	2	籍	籍	zi2			
i	2	蘪	蘪	mi2			
i	2	蠐	蛴	ci2			
i	2	覹	覹	mi2			
i	2	豑	豑	zhy2			
i	2	躃	躃	bi2			
i	2	轙	轙	yi2			
i	2	鏶	鏶	zi2			
i	2	飁	飁	si2			
i	2	騱	騱	xi2			
i	2	鬐	鬐	qi2			
i	2	鯷	鯷	ti2			
i	2	鶙	鶙	ti2			
i	2	鶝	鶝	bi2			
i	2	鶥	鶥	mi2			
i	2	鶿	鹚	cy2			
i	2	鷀	鷀	cy2			
i	2	麛	麛	mi2			
i	2	黧	黧	li2			
i	2	㣆	㣆	mi2			
i	2	䣢	䣢	zi2			
i	2	攡	攡	li2			
i	2	灕	漓	li2			
i	2	蘺	蓠	li2			
i	2	蠡	蠡	li2			
i	2	觺	觺	yi2			
i	2	譶	譶	zhy2			
i	2	躑	踯	zhy2			
i	2	酈	郦	li2			
i	2	镾	镾	mi2			
i	2	闢	辟	bi2			
i	2	騽	騽	si2			
i	2	鰣	鲥	chy2			
i	2	鰭	鳍	qi2			
i	2	麝	麝	shy2			
i	2	鼙	鼙	pi2			
i	2	䥩	䥩	vi2			
i	2	孋	孋	li2			
i	2	廲	廲	li2			
i	2	玂	玂	qi2			
i	2	糴	籴	di2			
i	2	蘼	蘼	mi2			
i	2	襲	袭	si2			
i	2	覿	觌	di2			
i	2	鰼	鰼	si2			
i	2	黐	黐	li2			
i	2	㰚	㰚	li2			
i	2	㸏	㸏	mi2			
i	2	劙	劙	li2			
i	2	蠯	蠯	pi2			
i	2	鑗	鑗	li2			
i	2	鷤	鷤	ti2			
i	2	黴	霉	mi2			
i	2	鼶	鼶	ti2			
i	2	鼷	鼷	xi2			
i	2	齯	齯	yi2			
i	2	䴊	䴊	yi2			
i	2	䶞	䶞	qi2			
i	2	矖	矖	li2			
i	2	穲	穲	li2			
i	2	籬	篱	li2			
i	2	醿	醿	mi2			
i	2	鷿	鷿	bi2			
i	2	鸄	鸄	xi2			
i	2	鸊	鸊	bi2			
i	2	齹	齹	chy2			
i	2	䊳	䊳	mi2			
i	2	䍦	䍦	li2			
i	2	䕻	䕻	li2			
i	2	䥸	䥸	mi2			
i	2	臡	臡	ni2			
i	2	麡	麡	ci2			
i	2	䶵	䶵	chy2			
i	2	驪	骊	li2			
i	2	鸝	鹂	li2			
i	2	𠁭	𠁭	qi2			
i	2	𠆵	𠆵	yi2			
i	2	𠐀	𠐀	yi2			
i	2	𠗺	𠗺	yi2			
i	2	𠠍	𠠍	li2			
i	2	𠣨	𠣨	yi2			
i	2	𠦫	𠦫	zi2			
i	2	𠩗	𠩗	yi2			
i	2	𠩬	𠩬	li2			
i	2	𠭰	𠭰	li2			
i	2	𠴫	𠴫	zi2			
i	2	𠹋	𠹋	zi2			
i	2	𡎰	𡎰	chy2			
i	2	𡑌	𡑌	shy2			
i	2	𡗞	𡗞	xi2			
i	2	𡙮	𡙮	zhy2			
i	2	𡝠	𡝠	mi2			
i	2	𡧘	𡧘	zi2			
i	2	𡧯	𡧯	zi2			
i	2	𡰄	𡰄	ti2			
i	2	𡰖	𡰖	ti2			
i	2	𡰥	𡰥	yi2			
i	2	𡱐	𡱐	yi2			
i	2	𡸜	𡸜	zhy2			
i	2	𢃛	𢃛	qi2			
i	2	𢇓	𢇓	ji2			
i	2	𢐀	𢐀	bi2			
i	2	𢓡	𢓡	yi2			
i	2	𢔭	𢔭	ti2			
i	2	𢘍	𢘍	bi2			
i	2	𢜭	𢜭	ji2			
i	2	𢟢	𢟢	li2			
i	2	𢟤	𢟤	li2			
i	2	𢤂	𢤂	li2			
i	2	𢥗	𢥗	li2			
i	2	𢯩	𢯩	zi2			
i	2	𢺷	𢺷	qi2			
i	2	𢻚	𢻚	qi2			
i	2	𢼸	𢼸	vi2			
i	2	𣀷	𣀷	li2			
i	2	𣁟	𣁟	li2			
i	2	𣏚	𣏚	chy2			
i	2	𣐑	𣐑	cy2			
i	2	𣐵	𣐵	yi2			
i	2	𣕁	𣕁	yi2			
i	2	𣖅	𣖅	ti2			
i	2	𣗻	𣗻	zhy2			
i	2	𣝍	𣝍	bi2			
i	2	𣟗	𣟗	yi2			
i	2	𣢠	𣢠	bi2			
i	2	𣣢	𣣢	yi2			
i	2	𣬈	𣬈	pi2			
i	2	𣮉	𣮉	li2			
i	2	𣮐	𣮐	bi2			
i	2	𣹲	𣹲	ti2			
i	2	𤃱	𤃱	mi2			
i	2	𤐧	𤐧	bi2			
i	2	𤕺	𤕺	zi2			
i	2	𤗚	𤗚	bi2			
i	2	𤛿	𤛿	li2			
i	2	𤝻	𤝻	yi2			
i	2	𤪌	𤪌	qi2			
i	2	𤭏	𤭏	ji2			
i	2	𤷂	𤷂	fi2			
i	2	𥉓	𥉓	mi2			
i	2	𥉘	𥉘	ti2			
i	2	𥉙	𥉙	qi2			
i	2	𥌛	𥌛	li2			
i	2	𥎖	𥎖	mi2			
i	2	𥠥	𥠥	yi2			
i	2	𥪺	𥪺	yi2			
i	2	𥱵	𥱵	si2			
i	2	𥶛	𥶛	ti2			
i	2	𥸀	𥸀	mi2			
i	2	𥻅	𥻅	bi2			
i	2	𥿆	𥿆	cy2			
i	2	𥿆	𥿆	sy2			
i	2	𦃇	𦃇	li2			
i	2	𦊁	𦊁	pi2			
i	2	𦑡	𦑡	chy2			
i	2	𦓀	𦓀	qi2			
i	2	𦗕	𦗕	mi2			
i	2	𦚟	𦚟	yi2			
i	2	𦠄	𦠄	qi2			
i	2	𦣝	𦣝	yi2			
i	2	𦪆	𦪆	qi2			
i	2	𦭲	𦭲	qi2			
i	2	𦯔	𦯔	ti2			
i	2	𦳈	𦳈	pi2			
i	2	𦳚	𦳚	chy2			
i	2	𦶍	𦶍	ji2			
i	2	𦸚	𦸚	si2			
i	2	𦺴	𦺴	zi2			
i	2	𧋘	𧋘	ti2			
i	2	𧎿	𧎿	zi2			
i	2	𧑜	𧑜	pi2			
i	2	𧓉	𧓉	cy2			
i	2	𧓎	𧓎	pi2			
i	2	𧓸	𧓸	zhy2			
i	2	𧕮	𧕮	li2			
i	2	𧕯	𧕯	li2			
i	2	𧖈	𧖈	pi2			
i	2	𧠠	𧠠	mi2			
i	2	𧠫	𧠫	di2			
i	2	𧡨	𧡨	ti2			
i	2	𧡺	𧡺	qi2			
i	2	𧪠	𧪠	zi2			
i	2	𧯯	𧯯	qi2			
i	2	𧰙	𧰙	qi2			
i	2	𧽮	𧽮	zhy2			
i	2	𨆮	𨆮	zi2			
i	2	𨈚	𨈚	pi2			
i	2	𨌅	𨌅	cy2			
i	2	𨍺	𨍺	ji2			
i	2	𨕤	𨕤	ji2			
i	2	𨙸	𨙸	qi2			
i	2	𨛫	𨛫	li2			
i	2	𨛳	𨛳	si2			
i	2	𨟀	𨟀	li2			
i	2	𨠔	𨠔	bi2			
i	2	𨤐	𨤐	mi2			
i	2	𨥳	𨥳	ci2			
i	2	𨪉	𨪉	ti2			
i	2	𨪌	𨪌	qi2			
i	2	𨱜	𨱜	qi2			
i	2	𨿯	𨿯	li2			
i	2	𩆂	𩆂	cy2			
i	2	𩇯	𩇯	fi2			
i	2	𩉬	𩉬	qi2			
i	2	𩚯	𩚯	ni2			
i	2	𩛛	𩛛	yi2			
i	2	𩜴	𩜴	cy2			
i	2	𩠞	𩠞	yi2			
i	2	𩧋	𩧋	li2			
i	2	𩪧	𩪧	bi2			
i	2	𩫫	𩫫	pi2			
i	2	𩭇	𩭇	li2			
i	2	𩴆	𩴆	qi2			
i	2	𩷎	𩷎	di2			
i	2	𩾳	𩾳	bi2			
i	2	𪂕	𪂕	mi2			
i	2	𪂿	𪂿	ti2			
i	2	𪄶	𪄶	si2			
i	2	𪅆	𪅆	li2			
i	2	𪌈	𪌈	pi2			
i	2	𪎕	𪎕	mi2			
i	2	𪎭	𪎭	mi2			
i	2	𪓬	𪓬	mi2			
i	2	𪓷	𪓷	xi2			
i	2	𪕯	𪕯	xi2			
i	2	𪖂	𪖂	li2			
i	2	𪗍	𪗍	ci2			
i	2	𪙧	𪙧	qi2			
i	3	丿	丿	yi4			
i	3	乂	乂	yi4			
i	3	几	几	ji3			
i	3	匕	匕	bi3			
i	3	匸	匸	xi3			
i	3	士	士	shy4			
i	3	夂	夂	zhy3			
i	3	子	子	zy3			
i	3	己	己	ji3			
i	3	已	已	yi3			
i	3	已	已	yi4			
i	3	巳	巳	sy4			
i	3	巳	巳	yi3			
i	3	巳	巳	yi4			
i	3	彐	彐	ji4			
i	3	亖	亖	sy4			
i	3	以	以	yi3			
i	3	刈	刈	yi4			
i	3	旡	旡	ji4			
i	3	止	止	zhy3			
i	3	比	比	bi3			
i	3	比	比	bi4			
i	3	氏	氏	shy4			
i	3	气	气	qi4			
i	3	切	切	ci4			
i	3	㞦	㞦	ji3			
i	3	㠯	㠯	yi3			
i	3	㣻	㣻	yi4			
i	3	世	世	shy4			
i	3	丗	丗	shy4			
i	3	仔	仔	zy3			
i	3	仕	仕	shy4			
i	3	匜	匜	yi3			
i	3	卟	卟	qi3			
i	3	只	只	zhy3			
i	3	史	史	shy3			
i	3	四	四	sy4			
i	3	夘	夘	zi3			
i	3	市	市	shy4			
i	3	庀	庀	pi3			
i	3	未	未	vi4			
i	3	矢	矢	shy3			
i	3	示	示	shy4			
i	3	艾	艾	yi4			
i	3	邔	邔	qi3			
i	3	阤	阤	shy3			
i	3	阤	阤	zhy4			
i	3	㕧	㕧	xi4			
i	3	㜽	㜽	zy3			
i	3	㲼	㲼	yi4			
i	3	仳	仳	bi4			
i	3	仳	仳	pi3			
i	3	企	企	qi3			
i	3	企	企	qi4			
i	3	伎	伎	ji4			
i	3	伎	伎	zhy4			
i	3	似	似	sy4			
i	3	圮	圮	bi4			
i	3	妀	妀	ji3			
i	3	孖	孖	zy4			
i	3	字	字	zy4			
i	3	寺	寺	sy4			
i	3	屺	屺	qi3			
i	3	异	异	yi4			
i	3	弛	弛	shy3			
i	3	忕	忕	shy4			
i	3	扡	扡	yi3			
i	3	旨	旨	zhy3			
i	3	曳	曳	yi4			
i	3	机	机	ji3			
i	3	朼	朼	bi3			
i	3	朿	朿	cy4			
i	3	次	次	cy4			
i	3	此	此	cy3			
i	3	死	死	sy3			
i	3	汜	汜	sy4			
i	3	牝	牝	bi4			
i	3	祁	祁	zhy3			
i	3	米	米	mi3			
i	3	自	自	zy4			
i	3	至	至	zhy4			
i	3	芑	芑	qi3			
i	3	芓	芓	zy4			
i	3	衣	衣	yi4			
i	3	达	达	ti4			
i	3	迆	迤	yi3			
i	3	阯	址	zhy3			
i	3	吏	吏	li4			
i	3	礼	礼	li3			
i	3	㔗	㔗	fi4			
i	3	㤄	㤄	fi4			
i	3	丽	丽	li4			
i	3	伱	伱	ni3			
i	3	伺	伺	sy4			
i	3	伿	伿	yi4			
i	3	伿	伿	zhy4			
i	3	佀	佀	sy4			
i	3	佁	佁	chy4			
i	3	佁	佁	yi3			
i	3	佊	佊	bi3			
i	3	佊	佊	bi4			
i	3	你	你	ni3			
i	3	兕	兕	sy4			
i	3	医	医	yi4			
i	3	厎	厎	zhy3			
i	3	吠	吠	fi4			
i	3	吡	吡	pi3			
i	3	否	否	bi4			
i	3	启	启	qi3			
i	3	吱	吱	qi4			
i	3	址	址	zhy3			
i	3	坁	坁	zhy3			
i	3	坒	坒	bi4			
i	3	妎	妎	xi4			
i	3	妓	妓	ji4			
i	3	妣	妣	bi3			
i	3	姊	姊	zy3			
i	3	姒	姒	sy4			
i	3	尾	尾	vi3			
i	3	屁	屁	pi4			
i	3	帋	帋	zhy3			
i	3	庇	庇	bi4			
i	3	庋	庋	ji3			
i	3	弃	弃	qi4			
i	3	弟	弟	di4			
i	3	忌	忌	ji4			
i	3	志	志	zhy4			
i	3	忮	忮	zhy4			
i	3	戺	戺	shy4			
i	3	戻	戻	ti4			
i	3	扺	抵	zhy3			
i	3	技	技	ji4			
i	3	攺	攺	sy4			
i	3	攺	攺	yi3			
i	3	曵	曵	yi4			
i	3	杍	杍	zy3			
i	3	杕	杕	di4			
i	3	杘	杘	chy4			
i	3	杝	杝	zhy4			
i	3	杞	杞	qi3			
i	3	汥	汥	ji4			
i	3	汦	汦	zhy3			
i	3	汽	汽	qi4			
i	3	沘	沘	bi3			
i	3	沚	沚	zhy3			
i	3	泤	泤	sy4			
i	3	玘	玘	qi3			
i	3	疕	疕	bi3			
i	3	疕	疕	pi3			
i	3	矣	矣	yi3			
i	3	祀	祀	sy4			
i	3	系	系	xi4			
i	3	肔	肔	yi3			
i	3	芈	芈	mi3			
i	3	芘	芘	bi4			
i	3	芰	芰	ji4			
i	3	芷	芷	zhy3			
i	3	芾	芾	fi4			
i	3	苡	苡	yi3			
i	3	豕	豕	shy3			
i	3	豸	豸	zhy4			
i	3	邲	邲	bi4			
i	3	邸	邸	di3			
i	3	陂	陂	bi4			
i	3	利	利	li4			
i	3	李	李	li3			
i	3	里	里	li3			
i	3	㡀	㡀	bi4			
i	3	㡹	㡹	cy4			
i	3	㢰	㢰	bi4			
i	3	㣇	㣇	di4			
i	3	㣇	㣇	yi4			
i	3	㧗	㧗	zhy3			
i	3	㧗	㧗	zi3			
i	3	㧗	㧗	zy3			
i	3	㧘	㧘	ji4			
i	3	㧘	㧘	zy4			
i	3	㸚	㸚	li3			
i	3	㸚	㸚	li4			
i	3	事	事	shy4			
i	3	事	事	zhy4			
i	3	些	些	si4			
i	3	亟	亟	qi4			
i	3	佌	佌	cy3			
i	3	佽	佽	cy4			
i	3	使	使	shy3			
i	3	使	使	shy4			
i	3	侈	侈	chy3			
i	3	侍	侍	shy4			
i	3	侎	侎	mi3			
i	3	制	制	zhy4			
i	3	卶	卶	chy4			
i	3	卶	卶	shy4			
i	3	呬	呬	xi4			
i	3	呭	呭	yi4			
i	3	味	味	vi4			
i	3	坭	坭	ni3			
i	3	坻	坻	di3			
i	3	坻	坻	zhy3			
i	3	妻	妻	ci4			
i	3	始	始	shy3			
i	3	孠	孠	sy4			
i	3	帔	帔	pi4			
i	3	底	底	di3			
i	3	弤	弤	di3			
i	3	彼	彼	bi3			
i	3	忥	忥	xi4			
i	3	怫	怫	fi4			
i	3	戾	戾	li4			
i	3	抧	抧	zhy3			
i	3	披	披	pi3			
i	3	抳	抳	ni3			
i	3	抴	曳	yi4			
i	3	抵	抵	di3			
i	3	杫	杫	sy4			
i	3	杮	杮	fi4			
i	3	枇	枇	bi3			
i	3	枇	枇	bi4			
i	3	枍	枍	yi4			
i	3	柹	柹	shy4			
i	3	沬	沬	vi4			
i	3	沴	沴	li4			
i	3	沸	沸	fi4			
i	3	治	治	zhy4			
i	3	泄	泄	yi4			
i	3	泗	泗	sy4			
i	3	炁	炁	qi4			
i	3	狒	狒	fi4			
i	3	狔	狔	ni3			
i	3	畀	畀	bi4			
i	3	畁	畁	ji4			
i	3	盵	盵	qi4			
i	3	祉	祉	chy3			
i	3	秄	秄	zy3			
i	3	羋	芈	mi3			
i	3	肺	肺	fi4			
i	3	胏	胏	zhy3			
i	3	苢	苢	yi3			
i	3	苨	苨	ni3			
i	3	茀	茀	fi4			
i	3	茋	茋	zhy3			
i	3	衪	衪	yi3			
i	3	迡	迡	ni4			
i	3	迣	迣	zhy4			
i	3	陊	陊	zhy4			
i	3	隶	隶	yi4			
i	3	泌	泌	bi4			
i	3	例	例	li4			
