韻	字	簡化字	推導音	校正音	罕用標記	註
ang	詳	详	siang2			
ang	詳	详	yang2			
ang	跭		xang2			
ang	軭		kuang2			
ang	隚		tang2			
ang	頏	颃	hang2			
ang	廊		lang2			
ang	㲥		tang2			
ang	㼺		tang2			
ang	䅣		huang2			
ang	䗅		chang2			
ang	䡙		lang2			
ang	䭹		ang2			
ang	勥		qang2			
ang	嘗	尝	chang2			
ang	嫦		chang2			
ang	撗		huang2			
ang	朢	望	wang2			
ang	榶		tang2			
ang	潢		huang2			
ang	煻		tang2			
ang	獚		huang2			
ang	瑭		tang2			
ang	瘍	疡	yang2			
ang	碭	砀	tang2			
ang	綡		liang2			
ang	膀		pang2			
ang	螂		lang2			
ang	裳		chang2			
ang	踉		lang2			
ang	踉		liang2			
ang	躴		lang2			
ang	鋩		wang2			
ang	郎		lang2			
ang	㼻		chuang2			
ang	䅭		pang2			
ang	䝶		liang2			
ang	䠆		chang2			
ang	䣼		liang2			
ang	噇		chuang2			
ang	幢		chuang2			
ang	撞		chuang2			
ang	樘		tang2			
ang	璜		huang2			
ang	磄		tang2			
ang	篁		huang2			
ang	膛		tang2			
ang	艎		huang2			
ang	蝗		huang2			
ang	輬		liang2			
ang	鋃	锒	lang2			
ang	閬	阆	lang2			
ang	魧		hang2			
ang	魴	鲂	fang2			
ang	鴋		fang2			
ang	䯖		lang2			
ang	噥	哝	nang2			
ang	墻	墙	ciang2			
ang	嬙	嫱	ciang2			
ang	廧		ciang2			
ang	彊	强	qang2			
ang	橖		tang2			
ang	橦	幢	chuang2			
ang	癀		huang2			
ang	磺		huang2			
ang	篖		tang2			
ang	篣		pang2			
ang	薔	蔷	ciang2			
ang	螃		pang2			
ang	螗		tang2			
ang	諹		yang2			
ang	踼		tang2			
ang	輰		yang2			
ang	鋿		chang2			
ang	糖		tang2			
ang	䠙		pang2			
ang	償	偿	chang2			
ang	檣	樯	ciang2			
ang	牆	墙	ciang2			
ang	簧		huang2			
ang	糛		tang2			
ang	藏		cang2			
ang	螳		tang2			
ang	蟥		huang2			
ang	赯		tang2			
ang	醣		tang2			
ang	鍚		yang2			
ang	餭		huang2			
ang	駹		mang2			
ang	駺		lang2			
ang	鴹		yang2			
ang	䁸		nang2			
ang	䉎		tang2			
ang	䣘		tang2			
ang	䵨		mang2			
ang	趪		huang2			
ang	鎕		tang2			
ang	韹		huang2			
ang	颺	扬	yang2			
ang	餹		tang2			
ang	鬃		chuang2			
ang	鵟		kuang2			
ang	糧	粮	liang2			
ang	儴		rhang2			
ang	勷		rhang2			
ang	瀧	泷	lang2			
ang	蘉		mang2			
ang	闛		tang2			
ang	騜		huang2			
ang	髈		pang2			
ang	龐	庞	pang2			
ang	孃	娘	rhang2			
ang	孃	娘	niang2			
ang	攘		rhang2			
ang	瀼		rhang2			
ang	獽		rhang2			
ang	蘘		rhang2			
ang	蘠		ciang2			
ang	騯		pang2			
ang	鰉	鳇	huang2			
ang	鰑		yang2			
ang	禳		rhang2			
ang	鶶		tang2			
ang	囊		nang2			
ang	瓤		rhang2			
ang	瓤		niang2			
ang	穰		rhang2			
ang	鱑		huang2			
ang	䉴		rhang2			
ang	蠰		nang2			
ang	鬞		nang2			
ang	䲔		qang2			
ang	躟		rhang2			
ang	鸉		yang2			
ang	鑲	镶	rhang2			
ang	鑲	镶	niang2			
ang	䮾		lang2			
ang	鬤		rhang2			
ang	𠈵		mang2			
ang	𡩩		mang2			
ang	𣀮		rhang2			
ang	𣃘		chuang2			
ang	𣄴		liang2			
ang	𣰊		nang2			
ang	𤚫		tang2			
ang	𤛋		tang2			
ang	𤞛		ciang2			
ang	𤯷		huang2			
ang	𥂸		yang2			
ang	𥆙		mang2			
ang	𥍫		lang2			
ang	𥏬		tang2			
ang	𥐞		mang2			
ang	𦍙		siang2			
ang	𦍹		yang2			
ang	𦐄		hang2			
ang	𦗳		nang2			
ang	𦭵		yang2			
ang	𦵧		lang2			
ang	𨀘		siang2			
ang	𨁈		hang2			
ang	𨍴		tang2			
ang	𨛌		mang2			
ang	𨛌		wang2			
ang	𨜔		huang2			
ang	𨜷		pang2			
ang	𨝴		huang2			
ang	𨟚		rhang2			
ang	𨶈		tang2			
ang	𩆶		rhang2			
ang	𩋬		yang2			
ang	𩐨		pang2			
ang	𩗬		liang2			
ang	𩞐		chuang2			
ang	𩟊		nang2			
ang	𩪘		chuang2			
ang	𩵭		wang2			
ang	𩷕		lang2			
ang	𩹶		tang2			
ang	𩼝		chang2			
ang	𪁜		lang2			
ang	𪄹		chang2			
ang	𪆯		nang2			
ang	𪕹		tang2			
ang	丄		shang4			
ang	丈		zhang4			
ang	上		shang4			
ang	亢		kang4			
ang	仉		zhang3			
ang	卬	昂	yang3			
ang	王		wang4			
ang	仗		zhang4			
ang	仰		yang3			
ang	仰		yang4			
ang	仿		fang3			
ang	伉		kang4			
ang	光		guang4			
ang	匠		ziang4			
ang	吂		mang4			
ang	向		shang4			
ang	向		xang4			
ang	妄		wang4			
ang	弜		jang4			
ang	汒		wang4			
ang	网		wang3			
ang	邟		kang4			
ang	邡		fang4			
ang	阬	坑	kang4			
ang	防		fang4			
ang	行		hang4			
ang	㒳		liang3			
ang	亨		xang3			
ang	况		huang4			
ang	吭		hang4			
ang	壯	壮	zhuang4			
ang	妨		fang4			
ang	彷		fang3			
ang	忘		wang4			
ang	忼		kang3			
ang	抗		kang4			
ang	杖		zhang4			
ang	汪		wang3			
ang	汪		wang4			
ang	汻		hang3			
ang	沆		hang4			
ang	犺		kang4			
ang	狂		guang4			
ang	迋		guang3			
ang	迋		wang4			
ang	㭋		bang4			
ang	㽴		zhang4			
ang	享		xang3			
ang	咉		ang3			
ang	坱		ang3			
ang	姎		ang3			
ang	宕		dang4			
ang	尚		shang4			
ang	岟		yang3			
ang	帑		tang3			
ang	往		wang3			
ang	怏		yang3			
ang	怏		yang4			
ang	怳		huang3			
ang	放		fang3			
ang	放		fang4			
ang	旺		wang4			
ang	昉		fang3			
ang	枉		wang3			
ang	枊		ang4			
ang	況	况	huang4			
ang	泱		ang3			
ang	炕		kang4			
ang	玤		bang4			
ang	瓬		fang3			
ang	罔		wang3			
ang	肨		pang4			
ang	長	长	zhang3			
ang	長	长	zhang4			
ang	兩	两	liang3			
ang	兩	两	liang4			
ang	狀	状	zhuang4			
ang	降		jang4			
ang	㽘		gang3			
ang	亯		xang3			
ang	俇		guang4			
ang	俍		lang3			
ang	剏		chuang4			
ang	巷		xang4			
ang	映		ang3			
ang	昶		chang3			
ang	昶		chang4			
ang	柍		yang3			
ang	洚		jang4			
ang	炴		yang3			
ang	相		siang4			
ang	砊		kang4			
ang	胖		pang4			
ang	荒		huang4			
ang	虹		jang4			
ang	亮		liang4			
ang	㔝		liang3			
ang	㝗		lang3			
ang	㟐		mang3			
ang	㟐		mang4			
ang	㤮		guang4			
ang	㤮		wang4			
ang	㿮		yang4			
ang	䒢		yang3			
ang	倆	俩	liang3			
ang	倘		tang3			
ang	倡		chang4			
ang	倣	仿	fang3			
ang	党		dang3			
ang	哴		liang4			
ang	唴		qang4			
ang	埌		lang4			
ang	奘		zang4			
ang	崀		lang3			
ang	恙		yang4			
ang	悢		liang4			
ang	晃		huang4			
ang	桄		guang4			
ang	珦		shang4			
ang	珦		xang4			
ang	盎		ang3			
ang	盎		ang4			
ang	秧		yang3			
ang	笐		hang4			
ang	紡	纺	fang3			
ang	舫		bang4			
ang	舫		fang4			
ang	莽		mang3			
ang	蚌		bang4			
ang	蚢		hang4			
ang	蚢		kang4			
ang	逛		guang3			
ang	酐		hang3			
ang	鬯		chang4			
ang	朗		lang3			
ang	浪		lang4			
ang	㑰		yang4			
ang	䇦		ang3			
ang	䟘		gang3			
ang	䟘		hang4			
ang	䡉		kang3			
ang	䡉		kuang3			
ang	偒		tang3			
ang	唱		chang4			
ang	將	将	ziang4			
ang	帳	帐	zhang4			
ang	張	张	zhang4			
ang	弶		jang4			
ang	悵	怅	chang4			
ang	惘		wang3			
ang	惝		tang3			
ang	掆		kang4			
ang	掚		liang3			
ang	朖		lang3			
ang	望		wang4			
ang	涼	凉	liang4			
ang	淌		tang3			
ang	淙		shuang4			
ang	爽		shuang3			
ang	瓺		zhang4			
ang	痒		yang3			
ang	痒		yang4			
ang	眻		yang4			
ang	紻		yang3			
ang	羕		yang4			
ang	菪		dang4			
ang	菵		wang3			
ang	訪	访	fang4			
ang	象		siang4			
ang	趽		fang4			
ang	掠		liang4			
ang	㳹		wang3			
ang	㹁		liang4			
ang	䀶		liang4			
ang	䖮		xang3			
ang	䞪		ziang4			
ang	䟫		chang3			
ang	傋		jang3			
ang	傋		xang3			
ang	傍		bang4			
ang	創	创	chuang4			
ang	喪	丧	sang4			
ang	婸		dang4			
ang	崵		dang4			
ang	愓		dang4			
ang	慌		huang3			
ang	掌		zhang3			
ang	敞		chang3			
ang	暀		huang4			
ang	暀		wang3			
ang	暀		wang4			
ang	棒		bang4			
ang	棓		bang4			
ang	棢		wang3			
ang	榔		lang3			
ang	港		jang3			
ang	湯	汤	tang4			
ang	瓽		dang3			
ang	瓽		dang4			
ang	絳	绛	jang4			
ang	綁	绑	bang3			
ang	缿		xang4			
ang	脹	胀	zhang4			
ang	脼		liang3			
ang	茻		mang3			
ang	萫		xang4			
ang	葬		zang4			
ang	蛘		yang3			
ang	蛧		wang3			
ang	衖		xang4			
ang	詇		yang3			
ang	詇		yang4			
ang	貺	贶	huang4			
ang	軮		ang3			
ang	逿		dang4			
ang	閌	闶	kang4			
ang	項	项	xang4			
ang	量		liang4			
ang	㺊		yang4			
ang	䁁		liang4			
ang	䊋		zhuang4			
ang	䬬		yang3			
ang	䬬		yang4			
ang	傷	伤	shang4			
ang	傸		chuang3			
ang	像		siang4			
ang	勨		siang4			
ang	勨		yang3			
ang	嗓		sang3			
ang	壾		mang3			
ang	嵣		dang4			
ang	幌		huang4			
ang	徬	旁	bang4			
ang	想		siang3			
ang	愴	怆	chuang3			
ang	愴	怆	chuang4			
ang	慃		yang3			
ang	搒		bang4			
ang	搡		sang3			
ang	搶	抢	ciang3			
ang	搶	抢	chuang3			
ang	滄	沧	chuang4			
ang	滉		huang4			
ang	漭		mang3			
ang	漭		mang4			
ang	煬	炀	yang4			
ang	當	当	dang4			
ang	痮		zhang4			
ang	臦		guang4			
ang	蒗		lang4			
ang	蒡		bang3			
ang	蒼	苍	cang3			
ang	蝆		yang3			
ang	裝	装	zhuang4			
ang	裲		liang3			
ang	詤		huang3			
ang	誆	诓	guang4			
ang	障		zhang4			
ang	頏	颃	kang4			
ang	骯	肮	hang4			
ang	骯	肮	kang3			
ang	㝩		kang3			
ang	㢓		zhang4			
ang	㢡		ziang3			
ang	㨾		yang4			
ang	㬻		huang3			
ang	㼒		tang3			
ang	䎧		bang4			
ang	䓣		liang3			
ang	䭹		ang3			
ang	䭹		ang4			
ang	僘		chang3			
ang	勥		jang4			
ang	塽		shuang3			
ang	墇		zhang4			
ang	嶂		zhang4			
ang	嶑		siang4			
ang	幛		zhang4			
ang	廣	广	guang3			
ang	慯		shang4			
ang	慷		kang3			
ang	摤		ciang3			
ang	暢	畅	chang4			
ang	朢	望	wang4			
ang	榜		bang3			
ang	榥		huang4			
ang	滰		jang4			
ang	漲	涨	zhang4			
ang	漴		shuang4			
ang	漺		chuang3			
ang	漺		shuang3			
ang	漾		yang4			
ang	潒		dang4			
ang	潒		siang4			
ang	潢		huang4			
ang	牓		bang3			
ang	畼		chang4			
ang	碭	砀	dang4			
ang	網	网	wang3			
ang	緉		liang3			
