det 迭
det 耋
det 荎
det 軼
det 瓞
deu 掉
deu 裊
deu 窕
dev 電
dev 殿
dev 甸
dev 奠
dev 澱
dev 佃
dev 靛
dev 淀
dew 艇
dew 梃
dew 鋌
dew 莛
dex 定
dex 錠
dex 啶
dex 腚
dey 弟
dey 遞
dey 悌
dga 池
dga 馳
dga 踟
dga 褫
dgb 滯
dgb 彘
dgf 纏
dgj 朝
dgj 潮
dgj 晁
dgk 擲
dgk 躑
dgm 召
dgq 褫
dgs 程
dgs 呈
dgs 埕
dgs 裎
dgt 澈
dgt 轍
dgu 兆
dgu 趙
dgu 肇
dgx 鄭
din 地
din 墬
dja 除
dja 儲
dja 滁
dja 躇
djk 濁
djk 戳
djk 濯
djk 擢
djk 鐲
djq 佇
djq 杼
djx 撞
djx 幢
djz 箸
dka 持
dkc 鴆
dkd 沉
dke 朕
dkf 陳
dkf 塵
dkh 遲
dkh 荎
dkk 直
dkk 值
dkn 緻
dkn 稚
dkp 蟄
dkq 峙
dkq 痔
dks 澄
dks 懲
dks 澂
dkt 秩
dkt 侄
dkt 姪
dkt 帙
dkv 陣
dkx 瞪
dky 雉
dkz 治
dla 廚
dla 櫥
dla 躕
dlk 逐
dlk 軸
dlk 妯
dlk 碡
dlq 柱
dls 蟲
dls 沖
dls 盅
dlx 仲
dlz 住
dma 籌
dma 疇
dma 綢
dma 稠
dma 躊
dma 儔
dmh 椎
dmh 槌
dmh 鎚
dmk 躅
dmn 墜
dmn 懟
dmq 紂
dms 重
dms 緟
dms 褈
dmw 重
dmz 宙
dmz 冑
dmz 胄
dod 潭
dod 譚
dod 曇
dod 覃
dod 蕁
doe 萏
dok 特
dok 忑
dyq 杜
dyq 肚
dyq 釷
dos 騰
dos 藤
dos 謄
dos 滕
dos 籐
dox 鄧
dox 蹬
dpf 屯
dpf 豚
dpf 燉
dpf 臀
dpf 飩
dpr 盾
dpr 遁
dpr 囤
dpr 沌
dpt 突
dpt 凸
dpv 遁
dpv 鈍
dsa 鴕
dsa 坨
dsa 砣
dsb 兌
dsf 團
dsf 糰
dsh 頹
dsn 隊
dsq 墮
dsq 惰
dsq 垛
dsr 斷
dsr 緞
dst 奪
dsv 段
dsv 椴
dsz 剁
dsz 跺
dua 頭
dua 投
dua 骰
duk 讀
duk 獨
duk 犢
duk 瀆
duk 髑
duk 黷
duk 牘
duk 碡
dus 同
dus 童
dus 銅
dus 筒
dus 桐
dus 瞳
dus 潼
dus 僮
dus 仝
dus 茼
dus 酮
dus 峒
dus 衕
duw 動
duw 桶
dux 洞
dux 慟
dux 胴
dux 侗
dux 恫
dux 峒
duz 豆
duz 逗
duz 竇
duz 荳
duz 痘
dva 錘
dvf 傳
dvf 椽
dvr 篆
dvv 傳
dvz 槌
dwk 着
dws 長
dws 場
dws 腸
dww 丈
dww 仗
dww 杖
dya 圖
dya 徒
dya 途
dya 塗
dya 屠
dya 涂
dya 荼
dyk 毒
dyk 碡
dop 沓
dop 遝
dys 疼
dys 彤
dys 佟
dyz 度
dyz 渡
dyz 鍍
dza 茶
dza 搽
dzk 擇
dzk 澤
dzk 宅
dzk 翟
dzs 棖
eca 吹
eca 炊
ecf 穿
ecf 川
ecf 氚
ecr 喘
ecr 舛
ect 啜
ecv 釧
ehq 處
ehq 杵
ehz 處
eia 嗤
eia 蚩
eia 哧
eif 嗔
eif 瞋
eih 鴟
eiq 齒
eis 稱
eit 叱
eix 稱
eix 秤
eiz 熾
enf 春
enk 觸
enq 醜
enr 蠢
ens 衝
ens 憧
ens 潼
ent 出
ent 齣
enz 臭
epa 樞
epa 姝
epk 俶
epk 琡
eps 充
epx 銃
eqa 車
eqk 綽
eqq 扯
eqs 昌
eqs 娼
eqs 猖
eqs 鯧
eqs 錩
eqs 菖
eqw 廠
eqw 敞
eqw 氅
eqx 唱
eqx 倡
eta 眵
etb 掣
etd 妗
etk 尺
etk 斥
etk 赤
etk 呎
etq 侈
